simulation,period,t0,ecc,per0,q,sma,incl,reqv1,reqv2,teff1,teff2,grb1,grb2,alb1,alb2,l3
00000,16.43761,0.17235,0.00000,0.00000,1.30741,38.89595,67.24929,1.56591,2.35569,9770.75768,5941.11735,0.22463,0.94844,0.84722,0.37038,0.00000
00001,15.35673,-0.01372,0.00000,0.00000,1.22640,34.59306,73.53033,3.12166,4.91313,14672.01772,9130.97984,0.09537,0.53491,0.44933,0.97484,0.00000
00002,23.81553,0.03331,0.00000,0.00000,1.48832,51.06083,80.65334,1.20650,3.31784,14297.87730,8061.92410,0.35763,0.20842,0.69567,0.05563,0.00000
00003,1.68838,-0.94893,0.00000,0.00000,1.48413,8.44677,52.99832,5.42675,5.92670,14681.96924,13792.72907,0.63286,0.02482,0.46479,0.31788,0.00000
00004,15.19848,-0.43376,0.00000,0.00000,1.21874,37.34545,71.20281,2.27420,1.93353,4154.56675,4016.56532,0.16620,0.70111,0.65898,0.47402,0.00000
00005,11.89664,0.18359,0.00000,0.00000,0.68918,28.23340,70.56449,1.70276,1.11706,13294.48569,8700.43331,0.26881,0.00252,0.66392,0.56645,0.00000
00006,6.10622,0.00788,0.00000,0.00000,0.13762,15.13418,66.78152,1.35207,1.10110,13622.90180,9457.36990,0.87863,0.48377,0.67538,0.28792,0.00000
00007,13.12491,-0.68044,0.00000,0.00000,0.17249,26.08007,69.42823,1.59815,2.17420,9652.20223,4954.76297,0.32064,0.68726,0.54679,0.14293,0.00000
00008,5.58196,-0.43907,0.00000,0.00000,0.38745,16.42261,76.55611,3.16766,3.70300,7842.21683,8826.95114,0.29979,0.69427,0.55050,0.05767,0.00000
00009,7.87226,0.24434,0.00000,0.00000,0.38604,20.31080,55.04038,5.84943,1.16489,11875.02265,12495.91429,0.52074,0.49449,0.36649,0.70117,0.00000
00010,10.46666,0.77961,0.00000,0.00000,0.27183,23.29606,80.45582,0.61690,1.48666,11262.25079,8909.33220,0.40661,0.51316,0.26003,0.73787,0.00000
00011,8.80795,0.72586,0.00000,0.00000,1.04653,25.06253,71.59816,0.92264,0.75330,14796.30550,5979.39223,0.76731,0.43799,0.10992,0.14657,0.00000
00012,6.05115,0.75335,0.00000,0.00000,0.80918,18.49142,74.15078,3.84028,2.61183,4600.79708,12107.50175,0.28309,0.11508,0.32518,0.57107,0.00000
00013,18.55660,0.27291,0.00000,0.00000,0.96526,37.35360,61.35733,4.03488,2.38736,5598.67546,12558.58425,0.38890,0.54471,0.57188,0.71497,0.00000
00014,18.50008,-0.33300,0.00000,0.00000,0.89242,36.92342,57.88392,1.06807,1.95540,6704.53560,13044.36797,0.15084,0.34900,0.44681,0.03314,0.00000
00015,22.84901,0.12896,0.00000,0.00000,0.37332,41.27113,71.16634,0.64559,1.50096,10922.68591,8397.39062,0.13682,0.66108,0.55336,0.23005,0.00000
00016,1.60252,0.58589,0.00000,0.00000,0.84257,7.11809,89.42645,4.46833,3.40560,4775.39379,4231.08647,0.86432,0.29932,0.53038,0.52397,0.00000
00017,13.78614,0.22547,0.00000,0.00000,1.05220,32.41769,67.68404,2.17728,4.66007,3702.76407,8374.09704,0.68160,0.28397,0.67579,0.27567,0.00000
00018,6.32729,0.14208,0.00000,0.00000,0.64822,18.46392,67.74622,1.37497,0.66731,5249.51652,6270.19696,0.43025,0.05837,0.04639,0.86233,0.00000
00019,24.59254,-0.98031,0.00000,0.00000,0.94182,48.24476,82.43146,1.58218,4.94094,14484.77931,14668.29226,0.85312,0.88922,0.38372,0.41020,0.00000
00020,19.49096,0.53740,0.00000,0.00000,0.94146,42.20910,58.87055,0.77531,1.01824,10823.39787,4378.22314,0.99565,0.52820,0.97525,0.90892,0.00000
00021,19.87762,0.47382,0.00000,0.00000,0.92955,40.64555,74.97434,5.66886,0.68743,13158.63200,9126.57216,0.96946,0.96272,0.98424,0.35447,0.00000
